Config,Expe,Metric,Sum,Max,Min,Avg
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.094806,0.023702,0.023702,0.023702
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.104153,0.026346,0.025363,0.026038
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11982.909116,2996.247914,2995.132448,2995.727279
openmp-perfmon,BaseStrainMapping applyJT,CPI,1.785514,0.450729,0.437118,0.446379
openmp-perfmon,BaseStrainMapping applyJT,L2 Load [MBytes/s],28933.647519,7273.247316,7216.628476,7233.411880
openmp-perfmon,BaseStrainMapping applyJT,L2 Evict [MBytes/s],9257.936393,2351.952766,2258.443112,2314.484098
openmp-perfmon,BaseStrainMapping applyJT,L2 bandwidth [MBytes/s],38191.583912,9620.058806,9477.669229,9547.895978
openmp-perfmon,BaseStrainMapping applyJT,L2 data volume [GBytes],0.905198,0.228010,0.224635,0.226300
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000153,0.000038,0.000038,0.000038
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000566,0.000566,0.000000,0.000141
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3020.429248,3020.429248,0.000000,755.107312
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,6.172131,6.172131,0.000000,1.543033
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 Load [MBytes/s],27195.189684,27195.189684,0.000000,6798.797421
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 Evict [MBytes/s],4075.842812,4075.842812,0.000000,1018.960703
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 bandwidth [MBytes/s],31271.032496,31271.032496,0.000000,7817.758124
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 data volume [GBytes],0.001194,0.001194,0.000000,0.000299
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.424128,0.106032,0.106032,0.106032
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.403989,0.102585,0.098503,0.100997
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11976.726068,2994.529659,2993.634585,2994.181517
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,2.280091,0.576545,0.565903,0.570023
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 Load [MBytes/s],42432.833138,10856.898726,10223.229802,10608.208284
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 Evict [MBytes/s],1527.874687,404.194134,369.935463,381.968672
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 bandwidth [MBytes/s],43960.707825,11226.834189,10627.423936,10990.176956
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 data volume [GBytes],4.661237,1.190403,1.126846,1.165309
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.085253,0.021313,0.021313,0.021313
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.083675,0.021094,0.020780,0.020919
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11976.046114,2994.215067,2993.860946,2994.011528
openmp-perfmon,BaseDeformationMapping apply,CPI,1.910882,0.480499,0.474845,0.477721
openmp-perfmon,BaseDeformationMapping apply,L2 Load [MBytes/s],18129.673381,4565.644687,4470.199656,4532.418345
openmp-perfmon,BaseDeformationMapping apply,L2 Evict [MBytes/s],1729.202124,440.905898,425.014909,432.300531
openmp-perfmon,BaseDeformationMapping apply,L2 bandwidth [MBytes/s],19858.875505,4993.863618,4895.214564,4964.718876
openmp-perfmon,BaseDeformationMapping apply,L2 data volume [GBytes],0.423256,0.106435,0.104333,0.105814
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.565440,0.141360,0.141360,0.141360
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.576759,0.144607,0.143505,0.144190
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11975.684925,2994.082820,2993.717952,2993.921231
openmp-perfmon,BaseDeformationMapping applyJ,CPI,1.808970,0.453142,0.450778,0.452243
openmp-perfmon,BaseDeformationMapping applyJ,L2 Load [MBytes/s],23401.005093,5862.189021,5830.048670,5850.251273
openmp-perfmon,BaseDeformationMapping applyJ,L2 Evict [MBytes/s],2198.851839,553.900170,540.910470,549.712960
openmp-perfmon,BaseDeformationMapping applyJ,L2 bandwidth [MBytes/s],25599.856933,6414.755857,6383.948840,6399.964233
openmp-perfmon,BaseDeformationMapping applyJ,L2 data volume [GBytes],3.618796,0.906790,0.902435,0.904699
openmp-perfmon,Simu,Runtime (RDTSC) [s],4.661428,1.165357,1.165357,1.165357
openmp-perfmon,Simu,Runtime unhalted [s],0.778258,0.778258,0.000000,0.194565
openmp-perfmon,Simu,Clock [MHz],2992.797280,2992.797280,0.000000,748.199320
openmp-perfmon,Simu,CPI,0.599778,0.599778,0.000000,0.149944
openmp-perfmon,Simu,L2 Load [MBytes/s],3839.120750,3839.120750,0.000000,959.780188
openmp-perfmon,Simu,L2 Evict [MBytes/s],757.786532,757.786532,0.000000,189.446633
openmp-perfmon,Simu,L2 bandwidth [MBytes/s],4596.907282,4596.907282,0.000000,1149.226821
openmp-perfmon,Simu,L2 data volume [GBytes],5.357038,5.357038,0.000000,1.339260
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.137516,0.034379,0.034379,0.034379
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.143029,0.035862,0.035494,0.035757
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11979.527954,2995.459721,2994.185085,2994.881989
openmp-perfmon,BaseStrainMapping applyJ,CPI,1.537434,0.385757,0.382415,0.384358
openmp-perfmon,BaseStrainMapping applyJ,L2 Load [MBytes/s],18648.906305,4690.163263,4611.707653,4662.226576
openmp-perfmon,BaseStrainMapping applyJ,L2 Evict [MBytes/s],4621.075265,1177.541560,1147.359309,1155.268816
openmp-perfmon,BaseStrainMapping applyJ,L2 bandwidth [MBytes/s],23269.981570,5867.704823,5760.126217,5817.495393
openmp-perfmon,BaseStrainMapping applyJ,L2 data volume [GBytes],0.799996,0.201725,0.198027,0.199999
openmp-perfmon,BaseStrainMapping applyJT,Runtime (RDTSC) [s],0.094806,0.023702,0.023702,0.023702
openmp-perfmon,BaseStrainMapping applyJT,Runtime unhalted [s],0.104153,0.026346,0.025363,0.026038
openmp-perfmon,BaseStrainMapping applyJT,Clock [MHz],11982.909116,2996.247914,2995.132448,2995.727279
openmp-perfmon,BaseStrainMapping applyJT,CPI,1.785514,0.450729,0.437118,0.446379
openmp-perfmon,BaseStrainMapping applyJT,L2 Load [MBytes/s],28933.647519,7273.247316,7216.628476,7233.411880
openmp-perfmon,BaseStrainMapping applyJT,L2 Evict [MBytes/s],9257.936393,2351.952766,2258.443112,2314.484098
openmp-perfmon,BaseStrainMapping applyJT,L2 bandwidth [MBytes/s],38191.583912,9620.058806,9477.669229,9547.895978
openmp-perfmon,BaseStrainMapping applyJT,L2 data volume [GBytes],0.905198,0.228010,0.224635,0.226300
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime (RDTSC) [s],0.000153,0.000038,0.000038,0.000038
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Runtime unhalted [s],0.000566,0.000566,0.000000,0.000141
openmp-perfmon,BaseDeformationMapping applyJT seqMat,Clock [MHz],3020.429248,3020.429248,0.000000,755.107312
openmp-perfmon,BaseDeformationMapping applyJT seqMat,CPI,6.172131,6.172131,0.000000,1.543033
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 Load [MBytes/s],27195.189684,27195.189684,0.000000,6798.797421
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 Evict [MBytes/s],4075.842812,4075.842812,0.000000,1018.960703
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 bandwidth [MBytes/s],31271.032496,31271.032496,0.000000,7817.758124
openmp-perfmon,BaseDeformationMapping applyJT seqMat,L2 data volume [GBytes],0.001194,0.001194,0.000000,0.000299
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime (RDTSC) [s],0.424128,0.106032,0.106032,0.106032
openmp-perfmon,BaseDeformationMapping applyJT vec,Runtime unhalted [s],0.403989,0.102585,0.098503,0.100997
openmp-perfmon,BaseDeformationMapping applyJT vec,Clock [MHz],11976.726068,2994.529659,2993.634585,2994.181517
openmp-perfmon,BaseDeformationMapping applyJT vec,CPI,2.280091,0.576545,0.565903,0.570023
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 Load [MBytes/s],42432.833138,10856.898726,10223.229802,10608.208284
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 Evict [MBytes/s],1527.874687,404.194134,369.935463,381.968672
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 bandwidth [MBytes/s],43960.707825,11226.834189,10627.423936,10990.176956
openmp-perfmon,BaseDeformationMapping applyJT vec,L2 data volume [GBytes],4.661237,1.190403,1.126846,1.165309
openmp-perfmon,BaseDeformationMapping apply,Runtime (RDTSC) [s],0.085253,0.021313,0.021313,0.021313
openmp-perfmon,BaseDeformationMapping apply,Runtime unhalted [s],0.083675,0.021094,0.020780,0.020919
openmp-perfmon,BaseDeformationMapping apply,Clock [MHz],11976.046114,2994.215067,2993.860946,2994.011528
openmp-perfmon,BaseDeformationMapping apply,CPI,1.910882,0.480499,0.474845,0.477721
openmp-perfmon,BaseDeformationMapping apply,L2 Load [MBytes/s],18129.673381,4565.644687,4470.199656,4532.418345
openmp-perfmon,BaseDeformationMapping apply,L2 Evict [MBytes/s],1729.202124,440.905898,425.014909,432.300531
openmp-perfmon,BaseDeformationMapping apply,L2 bandwidth [MBytes/s],19858.875505,4993.863618,4895.214564,4964.718876
openmp-perfmon,BaseDeformationMapping apply,L2 data volume [GBytes],0.423256,0.106435,0.104333,0.105814
openmp-perfmon,BaseDeformationMapping applyJ,Runtime (RDTSC) [s],0.565440,0.141360,0.141360,0.141360
openmp-perfmon,BaseDeformationMapping applyJ,Runtime unhalted [s],0.576759,0.144607,0.143505,0.144190
openmp-perfmon,BaseDeformationMapping applyJ,Clock [MHz],11975.684925,2994.082820,2993.717952,2993.921231
openmp-perfmon,BaseDeformationMapping applyJ,CPI,1.808970,0.453142,0.450778,0.452243
openmp-perfmon,BaseDeformationMapping applyJ,L2 Load [MBytes/s],23401.005093,5862.189021,5830.048670,5850.251273
openmp-perfmon,BaseDeformationMapping applyJ,L2 Evict [MBytes/s],2198.851839,553.900170,540.910470,549.712960
openmp-perfmon,BaseDeformationMapping applyJ,L2 bandwidth [MBytes/s],25599.856933,6414.755857,6383.948840,6399.964233
openmp-perfmon,BaseDeformationMapping applyJ,L2 data volume [GBytes],3.618796,0.906790,0.902435,0.904699
openmp-perfmon,Simu,Runtime (RDTSC) [s],4.661428,1.165357,1.165357,1.165357
openmp-perfmon,Simu,Runtime unhalted [s],0.778258,0.778258,0.000000,0.194565
openmp-perfmon,Simu,Clock [MHz],2992.797280,2992.797280,0.000000,748.199320
openmp-perfmon,Simu,CPI,0.599778,0.599778,0.000000,0.149944
openmp-perfmon,Simu,L2 Load [MBytes/s],3839.120750,3839.120750,0.000000,959.780188
openmp-perfmon,Simu,L2 Evict [MBytes/s],757.786532,757.786532,0.000000,189.446633
openmp-perfmon,Simu,L2 bandwidth [MBytes/s],4596.907282,4596.907282,0.000000,1149.226821
openmp-perfmon,Simu,L2 data volume [GBytes],5.357038,5.357038,0.000000,1.339260
openmp-perfmon,BaseStrainMapping applyJ,Runtime (RDTSC) [s],0.137516,0.034379,0.034379,0.034379
openmp-perfmon,BaseStrainMapping applyJ,Runtime unhalted [s],0.143029,0.035862,0.035494,0.035757
openmp-perfmon,BaseStrainMapping applyJ,Clock [MHz],11979.527954,2995.459721,2994.185085,2994.881989
openmp-perfmon,BaseStrainMapping applyJ,CPI,1.537434,0.385757,0.382415,0.384358
openmp-perfmon,BaseStrainMapping applyJ,L2 Load [MBytes/s],18648.906305,4690.163263,4611.707653,4662.226576
openmp-perfmon,BaseStrainMapping applyJ,L2 Evict [MBytes/s],4621.075265,1177.541560,1147.359309,1155.268816
openmp-perfmon,BaseStrainMapping applyJ,L2 bandwidth [MBytes/s],23269.981570,5867.704823,5760.126217,5817.495393
openmp-perfmon,BaseStrainMapping applyJ,L2 data volume [GBytes],0.799996,0.201725,0.198027,0.199999
